ticket_id,tenant_id,opened_by_user_id,created_at,priority,channel,subject,body,resolved_at,csat_score
TK300035,T1024,USYLEMRUYP,2025-05-11 03:07:02,low,teams,Export to CSV missing columns,"exports incomplete since last push (running v4.0.0), need cost_center back, region LATAM, mostly on Android13 pls advise quick",2025-05-12 02:57:52.972987709,3.7
TK300036,T1035,UO31YHXSO7,2025-09-07 22:35:44,medium,teams,SSO not working for new hires,"new folks can't log in, sso handshake fails, okta co (running v4.1.2)nfig seems fine",2025-09-09 05:03:11.264627896,3.7
TK300037,T1019,UWKFF0ZADF,2024-11-27 10:02:26,medium,email,Webhook retries too slow,"retry log (running v4.1.2)ic busted, queue stuck since yesterday pls advise quick",2024-11-28 06:27:15.918607449,3.9
TK300038,T1022,UUJ02GRXPU,2024-11-29 22:07:48,medium,portal,Mobile app crashes offline,"offline sync triggers crash, started after v4 rollout, mostly on iOS17 pls advise quick",2024-11-30 12:53:17.645944718,4.3
TK300039,T1016,U57I1NISKY,2025-01-04 23:35:41,high,teams,Webhook retries too slow,"delivery lag insane, partner (running v4.0.0)s yelling, any hotfix?",2025-01-06 04:17:54.846815266,4.9
TK300040,T1015,UFOKZIXZAR,2025-01-15 01:47:41,high,email,Audit trail gaps on weekends,"t (running v4.0.0)rail holes after midnight ops, scary for audits, mostly on Windows 11",2025-01-16 10:24:55.436546189,4.6
TK300041,T1008,U4WXEFJRPD,2025-07-30 11:25:27,medium,portal,SSO not working for new hires,"onboarding blocked, sso error pops after creds, urgent fix pls (running v4.0.0), region LATAM, mostly on Win10",2025-08-02 01:49:02.423433150,2.9
TK300042,T1010,UC19YQ5QHS,2025-07-14 06:17:25,medium,portal,QnA responses irrelevant,"qna giving nonsense (running v4.0.0), not grounded in docs, region EU, mostly on macOS13",2025-07-15 12:49:36.958064011,3.3
TK300043,T1022,UF4IO2XM43,2025-07-08 05:39:10,low,portal,SSO not working for new hires,"onboarding blocked, sso error pops after creds, urgent fix pls, region EU",2025-07-09 05:44:16.753293016,4.3
TK300044,T1027,UWP9JXI9B7,2024-12-20 00:30:51,medium,email,Anomaly alerts too noisy,"alert storm every morning, mostly false positives, region APAC pls advise quick",2024-12-21 04:10:52.628037354,4.7
TK300045,T1020,UBJDX0PKOV,2025-08-03 02:33:50,medium,email,QnA responses irrelevant,"qna giving non (running v4.1.2)sense, not grounded in docs, mostly on iOS17",2025-08-03 17:33:21.608085192,4.2
TK300046,T1020,U6FWTV1DJJ,2025-07-03 15:38:43,medium,portal,Mobile app crashes offline,"field reps stuck, app dies when offline mode kicks in, region US",2025-07-05 09:44:54.718671032,4.3
TK300047,T1001,U39BU4UZ2Z,2025-06-01 19:07:15,high,phone,Mobile app crashes offline,"field reps stuck, app dies when offline mode kicks in, mostly on Win10 pls advise quick",2025-06-04 01:31:14.009268303,3.1
TK300048,T1027,UDC25DMUP1,2025-06-08 11:50:50,medium,portal,Export to CSV missing columns,"exports incomplete since last push, need  (running v3.2.1)cost_center back, mostly on Win10",2025-06-09 11:02:16.936872710,4.2
TK300049,T1029,U6RNKWXZWL,2025-09-17 21:59:36,low,portal,Audit trail gaps on weekends,"trail holes after midnight ops, scary for audits",2025-09-18 21:43:28.689021348,3.5
TK300050,T1016,URNH2PH1DJ,2025-09-15 13:44:31,medium,email,Anomaly alerts too noisy,"anomaly detector spamming, need tuning asap, region US, mostly on iOS17",2025-09-16 11:43:43.394902040,3.0
TK300051,T1030,UBB6PYMA1T,2025-04-01 06:33:59,medium,email,SSO not working for new hires,"new folks can't log in, sso handshake fails, okta config seems fine",2025-04-01 18:51:21.058161097,4.3
TK300052,T1017,U7NTEDQMVQ,2024-12-16 23:51:27,medium,email,QnA responses irrelevant,"responses off-topic (running v4.0.0), customers confused big time, mostly on Android13",2024-12-17 19:51:18.836080552,4.1
TK300053,T1016,UXEGHPMXPK,2024-11-25 12:29:20,medium,phone,Webhook retries too slow,"delivery (running v4.1.2) lag insane, partners yelling, any hotfix?",2024-11-25 19:32:07.425810041,3.2
TK300054,T1025,ULKD4QJD7B,2025-01-16 08:51:04,low,portal,Anomaly alerts too noisy,"alert storm every morning, mostly false positives, region APAC, mostly on iOS17 pls advise quick",2025-01-18 18:34:22.862761284,3.8
TK300055,T1012,UNN16UXF5G,2025-10-21 15:53:20,medium,slack,SSO not working for new hires,"onboarding blocked, sso error pops after creds, urgent fix p (running v4.0.0)ls, mostly on Android13",2025-10-23 05:50:13.308522312,2.9
TK300056,T1007,U3WX6ILJ42,2025-11-06 19:44:37,high,email,QnA responses irrelevant,"responses off-topic, custo (running v4.1.2)mers confused big time pls advise quick",2025-11-08 14:07:13.810211051,4.4
TK300057,T1007,UR5KXSOLVQ,2025-09-19 22:39:08,low,portal,Anomaly alerts too noisy,"anomaly detector spamming, need tuning asap, mostly on Win10 pls advise quick",2025-09-21 12:04:29.619521206,4.7
TK300058,T1005,UC5PNEDL60,2025-03-17 10:45:10,high,email,Audit trail gaps on weekends,"audit blank for sa (running v3.2.1)turday edits, compliance breathing down, region APAC, mostly on Android13",2025-03-19 11:01:00.192965274,5.0
TK300059,T1014,UV23U65XNU,2025-09-19 21:35:35,low,phone,SSO not working for new hires,"login bombs for fresh accounts, maybe SCIM syn (running v4.0.0)c lag?, region EU",2025-09-20 17:36:52.803858148,4.0
TK300060,T1023,UXLPOY22CM,2025-06-29 15:42:32,low,slack,Webhook retries too slow,"delivery lag insane, partners yelling, any hotfix?, region APAC, mostly on macOS14",2025-06-30 18:45:27.059495673,4.0
TK300061,T1002,UAJGATXPXZ,2024-11-24 07:19:40,medium,email,Export to CSV missing columns,"csv export skips cost center and project fields, finan (running v4.1.2)ce mad",2024-11-25 18:41:26.149632478,5.0
TK300062,T1029,U0MMBBSU04,2025-08-13 04:19:13,low,email,Webhook retries too slow,"retry logic busted, queue stuck since  (running v3.9.5)yesterday, region LATAM, mostly on macOS13",2025-08-15 14:23:07.409628919,4.2
TK300063,T1032,U6VK0UCC1M,2024-11-28 21:51:16,low,email,Audit trail gaps on weekends,"weekend logs mi (running v3.9.5)ssing, risk for EU region, mostly on macOS14",2024-12-01 01:39:55.558772324,5.0
TK300064,T1007,UVKLQ0XJLA,2025-10-08 15:22:24,high,phone,Audit trail gaps on weekends,"weekend logs missing, risk for EU region, region APAC",2025-10-10 08:05:11.354642913,4.6
TK300065,T1001,UNULIBTT9P,2025-02-18 01:41:56,medium,phone,Webhook retries too slow,"retry logic busted, queue stuck since yesterda (running v4.0.0)y, mostly on Android13",2025-02-19 08:35:35.094572814,4.0
TK300066,T1004,UN9RG4XV34,2025-11-07 11:08:52,medium,portal,SSO not working for new hires,"new folks can't log in, sso handshake fails, okta config seems fine",2025-11-08 09:45:29.342050739,4.9
TK300067,T1006,UDHDGQNXSK,2025-09-22 08:45:20,medium,email,Mobile app crashes offline,"offline sync triggers crash, started after v4 ro (running v3.2.1)llout, region APAC pls advise quick",2025-09-23 20:35:22.102016634,4.0
TK300068,T1025,U2YTESNE8Q,2025-06-27 07:04:25,medium,phone,Audit trail gaps on weekends,"weekend  (running v3.9.5)logs missing, risk for EU region, mostly on macOS13",2025-06-29 19:23:17.805049771,3.7
TK300069,T1028,UKQTQ36ZPM,2025-08-12 06:14:21,low,email,Audit trail gaps on weekends,"weekend  (running v3.2.1)logs missing, risk for EU region, region US pls advise quick",2025-08-14 09:02:34.257667209,4.3
TK300070,T1017,UBLA91JY4X,2025-02-03 16:28:54,medium,email,QnA responses irrelevant,"qna giving nonsense, not grounde (running v4.1.2)d in docs, region LATAM",2025-02-04 15:16:41.899049182,4.4
TK300071,T1016,UG7FBV2I6O,2025-09-05 19:36:00,medium,email,Webhook retries too slow,"delivery lag insane, partners yelling, any hotfix?",2025-09-09 20:07:27.609443443,3.6
TK300072,T1034,UJ0Y2ATGXI,2024-12-28 05:14:41,medium,phone,SSO not working for new hires,"login bombs for fresh accounts, maybe SCIM sync lag?, region EU",2024-12-29 08:33:08.284924746,4.7
TK300073,T1024,UKMGQAW4TE,2025-04-15 15:01:22,low,portal,Mobile app crashes offline,"crash loop in airplane mode, logs show weird stacktrace",2025-04-17 03:10:59.367978410,3.7
TK300074,T1003,UXHIGX1PZG,2025-01-01 00:10:46,low,teams,Webhook retries too slow,"webhooks crawling, retries hours apart, downstream SLA toast, region EU, mostly on Android13 pls advise quick",2025-01-01 10:12:41.580540109,5.0
TK300075,T1007,UHOPQ0UX5P,2025-10-01 08:46:43,high,phone,OCR results are inconsistent,"scanned docs look messy, tables broken, numbers missing, feels worse after last update, mostly on macOS14 pls advise quick",2025-10-02 12:34:36.291996797,3.1
TK300076,T1004,U5E8FZQ1W0,2025-03-30 10:59:13,medium,slack,Mobile app crashes offline,"crash loop in airplane mode, logs sho (running v4.0.0)w weird stacktrace, region APAC, mostly on macOS13",2025-03-31 09:26:28.921261133,4.9
TK300077,T1039,UWPRLPG7GV,2025-07-18 21:35:48,high,portal,OCR results are inconsistent,"scanned docs look messy, tables broken, numbers missing, fee (running v3.2.1)ls worse after last update",2025-07-19 18:54:39.707963721,4.0
TK300078,T1009,URSG70S1F5,2024-12-31 17:40:38,low,phone,Anomaly alerts too noisy,"noise level crazy, ops ignoring alerts now",2025-01-02 11:51:10.718663688,3.4
TK300079,T1001,ULMWNMJ0SI,2024-11-17 15:42:43,low,email,SSO not working for new hires,"new folks can't log in, sso handshake fails, okta config seems fine, mostly on iOS17",2024-11-19 06:45:58.272124228,2.5
TK300080,T1038,UP5MD3EXU7,2025-03-21 02:16:58,medium,email,Audit trail gaps on weekends,"trail h (running v4.1.2)oles after midnight ops, scary for audits, region APAC pls advise quick",2025-03-21 08:53:57.386630507,4.5
TK300081,T1005,U33T9LZX8U,2025-09-28 15:20:38,urgent,phone,Anomaly alerts too noisy,"anomaly detector spamming, need tuning asap, mostly on iOS17 pls advise quick",2025-10-01 07:40:49.502298147,4.1
TK300082,T1003,U8KB9W4UOV,2025-09-19 19:42:06,low,phone,Anomaly alerts too noisy,"noise level crazy, ops ignoring a (running v3.9.5)lerts now pls advise quick",2025-09-21 04:53:31.090303297,5.0
TK300083,T1008,UNX3F86UGY,2025-02-17 04:28:01,low,email,OCR results are inconsistent,"ocr keeps jumbling invoice lines, maybe related to new patch?, region EU",2025-02-17 22:45:08.862999989,5.0
TK300084,T1036,UI5E0L1Q9R,2025-09-01 05:29:37,low,phone,Audit trail gaps on weekends,"weekend logs missing, risk for EU  (running v3.9.5)region, region US pls advise quick",2025-09-02 00:38:49.935306498,4.4
TK300085,T1009,UYOD0R450F,2025-02-17 16:15:34,low,email,Anomaly alerts too noisy," (running v3.2.1)noise level crazy, ops ignoring alerts now, mostly on iOS17",2025-02-19 22:31:14.717037001,4.7
TK300086,T1017,U2PJ0MMUG8,2024-11-22 10:02:27,high,email,Mobile app crashes offline,"crash loop in airplane mode, logs show weird stacktrace",2024-11-24 03:08:16.897176730,3.3
TK300087,T1006,U6AG3U1SWY,2025-08-16 06:42:45,medium,phone,Webhook retries too slow,"delivery lag insane, partner (running v3.9.5)s yelling, any hotfix?, region LATAM",2025-08-19 01:39:32.395550695,3.9
TK300088,T1037,UOJD85DW1N,2025-03-01 01:07:22,high,email,SSO not working for new hires,"new folks can't log in, sso handshak (running v4.0.0)e fails, okta config seems fine, mostly on Win10",2025-03-04 09:44:25.352300852,5.0
TK300089,T1019,U28KCXHHDA,2025-04-21 14:05:24,high,email,SSO not working for new hires,"login bombs for fresh accounts, maybe SCIM sync la (running v4.1.2)g?, region US",2025-04-22 17:22:21.642913664,4.7
TK300090,T1022,UDHE709HKD,2025-01-31 06:15:41,medium,slack,Audit trail gaps on weekends,"weekend logs missing, risk for EU region, region EU",2025-02-01 06:19:57.936417426,3.3
TK300091,T1006,U7BRRBAI3A,2025-11-01 01:56:19,high,email,QnA responses irrelevant,"bot answers outdated stuff, pricing info wrong, region EU",2025-11-02 01:48:28.716591449,4.4
TK300092,T1031,ULSPJ6SFAS,2025-09-21 03:41:47,low,slack,Anomaly alerts too noisy,"anoma (running v3.9.5)ly detector spamming, need tuning asap, mostly on Windows 11",2025-09-24 20:14:35.567887095,5.0
TK300093,T1031,UI163YK03O,2025-02-26 15:06:29,urgent,portal,SSO not working for new hires,"login bombs for fresh accounts, maybe SCIM sync lag?, region LATAM, mostly on macOS14 pls advise quick",2025-02-27 06:20:16.976114154,5.0
TK300094,T1016,UL90K3RF76,2025-03-23 19:42:13,urgent,teams,Webhook retries too slow,"delivery lag insane, partners yelli (running v4.1.2)ng, any hotfix?, region LATAM, mostly on Android13",2025-03-24 22:01:45.951798652,4.3
TK300095,T1013,UJX084DEHN,2024-11-30 07:12:27,low,slack,Export to CSV missing columns,"downloaded report missing key cols, brok (running v4.1.2)e our pipeline, mostly on Windows 11",2024-12-02 06:32:33.899707870,4.4
TK300096,T1002,UA6CBB3VCP,2025-06-09 12:43:56,high,phone,Audit trail gaps on weekends,"weekend logs missing, risk (running v4.1.2) for EU region, region US",2025-06-10 07:29:59.048420795,3.8
TK300097,T1028,UW1ARAGDX5,2025-02-01 07:06:28,medium,phone,Anomaly alerts too noisy,"alert storm every morning, mostly false positives",2025-02-02 08:23:43.912362410,3.3
TK300098,T1021,U1BFW7JN23,2025-01-17 08:26:52,urgent,phone,Export to CSV missing columns,"downloaded report missing key cols,  (running v3.2.1)broke our pipeline, region EU pls advise quick",2025-01-18 13:17:19.627156823,5.0
TK300099,T1011,UXEJAXVT7C,2025-04-25 16:36:22,low,email,QnA responses irrelevant,"responses off-topic, custome (running v4.1.2)rs confused big time, region APAC, mostly on macOS14",2025-04-27 06:59:58.554129833,4.0
TK300100,T1000,U86ZCHHXA7,2025-10-18 02:32:59,high,teams,Webhook retries too slow,"deliver (running v4.1.2)y lag insane, partners yelling, any hotfix?, region APAC",2025-10-20 09:12:14.170284497,3.9
TK300101,T1027,UAA6Y87QS7,2025-02-06 01:59:05,medium,email,Mobile app crashes offline,"field reps stuck, app dies when offline mode kicks in pls advise quick",2025-02-06 21:24:10.567067944,4.9
TK300102,T1018,U3NDZ3CC5R,2025-08-11 22:31:36,low,email,Anomaly alerts too noisy,"noise level crazy, ops ignoring alerts now pls advise quick",2025-08-14 12:39:10.986910990,4.1
TK300103,T1001,U38DALY8OZ,2025-03-15 03:41:26,high,portal,Anomaly alerts too noisy,"anomaly det (running v3.9.5)ector spamming, need tuning asap",2025-03-17 19:40:49.403846400,4.3
TK300104,T1001,UVNXIV9IW6,2025-10-17 11:32:28,high,phone,Export to CSV missing columns,"exports incomplete sinc (running v3.9.5)e last push, need cost_center back, region LATAM",2025-10-18 11:02:37.800563446,3.9
TK300105,T1008,U9YR33IKUZ,2025-04-17 00:57:00,medium,teams,Webhook retries too slow,"webhooks crawling, ret (running v4.1.2)ries hours apart, downstream SLA toast, region US, mostly on Android13",2025-04-18 09:37:52.908828204,3.4
TK300106,T1012,U05H3K7UJJ,2025-08-27 05:17:53,low,email,Audit trail gaps on weekends,"trail holes after midnight ops, scar (running v3.2.1)y for audits, mostly on Win10",2025-08-28 02:49:31.274603059,4.0
TK300107,T1001,UMVU2YETTR,2025-05-30 15:50:27,low,portal,Anomaly alerts too noisy,"noise level crazy, ops ignoring alerts now, region US, mostly on Windows 11",2025-05-31 07:00:17.109823083,5.0
TK300108,T1039,U0S4T0KZXG,2025-02-26 10:23:27,low,email,Mobile app crashes offline,"crash loop in airplane mode, l (running v4.1.2)ogs show weird stacktrace pls advise quick",2025-02-27 18:16:27.556411326,4.3
TK300109,T1027,U4G8QDE12W,2025-05-04 15:33:59,low,portal,QnA responses irrelevant,"qna giving nonsense, not grounded in docs, mostly on Win10",2025-05-06 09:36:53.496403851,5.0
TK300110,T1035,U4E5HRDU4X,2025-02-27 08:27:33,low,portal,Export to CSV missing columns,"csv export (running v4.1.2) skips cost center and project fields, finance mad, mostly on Windows 11 pls advise quick",2025-02-28 15:30:29.843590531,4.6
TK300111,T1034,U82SFR23C6,2025-02-01 09:31:18,high,email,Export to CSV missing columns,"csv export skips cost center a (running v3.2.1)nd project fields, finance mad, region EU, mostly on Win10 pls advise quick",2025-02-02 10:00:36.783504276,4.9
TK300112,T1035,UTWKC031VG,2025-05-24 13:42:42,high,slack,Webhook retries too slow,"retry logic busted, queue stuck since yesterda (running v3.2.1)y, region APAC, mostly on Windows 11",2025-05-26 12:25:02.159324064,4.2
TK300113,T1014,ULEW4P220X,2025-05-06 20:23:59,urgent,email,SSO not working for new hires,"onboarding blocked, sso error pops after creds, urgent fix pls, region APAC, mostly on Windows 11",2025-05-08 03:32:29.857399901,2.8
TK300114,T1021,UTTQAYIIY2,2025-03-10 15:27:27,medium,slack,SSO not working for new hires,"onboarding blocked, sso error pops after creds, urgent fix pls pls advise quick",2025-03-11 09:28:37.325341232,4.0
TK300115,T1023,UKCQWB00N1,2025-08-16 22:43:48,medium,portal,Audit trail gaps on weekends,"trai (running v3.9.5)l holes after midnight ops, scary for audits, mostly on Win10",2025-08-19 08:08:43.219551804,5.0
TK300116,T1038,UKJFCLCCR9,2025-02-16 22:09:54,urgent,portal,Export to CSV missing columns," (running v4.0.0)csv export skips cost center and project fields, finance mad",2025-02-17 11:20:28.274546479,4.4
TK300117,T1034,USZCLM4F8F,2025-11-12 17:26:06,low,phone,Webhook retries too slow,"delivery lag insane, partners yelling, any hotfix? pls advise quick",2025-11-13 07:22:20.421968786,5.0
TK300118,T1031,UU4WA2GBZU,2025-09-11 12:22:36,low,portal,Mobile app crashes offline,"crash loop in airp (running v3.9.5)lane mode, logs show weird stacktrace, region US",2025-09-13 00:27:21.109975458,4.0
TK300119,T1025,UK9E0OAWHN,2025-06-06 09:24:12,high,phone,OCR results are inconsistent,"ocr keeps jumbling in (running v4.0.0)voice lines, maybe related to new patch? pls advise quick",2025-06-07 14:41:04.410916462,3.9
TK300120,T1009,UUZFK8UT0C,2024-12-06 09:18:40,medium,portal,Audit trail gaps on weekends,"trail holes after midnight ops, scary for audits",2024-12-09 08:06:28.275531390,3.9
TK300121,T1028,UN5ZUL2EEI,2025-03-30 15:33:39,low,email,Webhook retries too slow,"retry logic busted, que (running v4.0.0)ue stuck since yesterday",2025-04-02 05:21:27.623698402,5.0
TK300122,T1009,UT9PC72EQ8,2025-05-17 17:52:39,high,email,Anomaly alerts too noisy,"noise level crazy, ops ignoring al (running v3.9.5)erts now",2025-05-19 18:43:23.355233907,4.0
TK300123,T1006,UASJ21GTCH,2025-08-02 17:28:22,low,phone,Export to CSV missing columns,"downloaded report  (running v4.1.2)missing key cols, broke our pipeline, mostly on macOS14 pls advise quick",2025-08-04 22:36:26.038629931,4.2
TK300124,T1033,UEXPFSLTJ6,2025-05-03 14:59:58,medium,portal,Anomaly alerts too noisy,"alert storm every morning, mostly false (running v4.0.0) positives",2025-05-04 18:06:51.305548616,4.0
TK300125,T1020,UU9SH7N1BQ,2025-10-08 01:11:52,low,portal,Mobile app crashes offline,"offline sync triggers crash, started after v4 rollout, region US, mostly on Android13",2025-10-09 00:11:16.109036627,4.4
TK300126,T1032,UI8E8QKXKI,2025-08-26 21:37:34,low,slack,OCR results are inconsistent,"accuracy tanked on PDFs, esp multi-page ones, (running v3.2.1) any workaround?",2025-08-27 06:22:20.169895966,2.0
TK300127,T1013,U67P7Q4ZD6,2025-04-25 17:45:26,medium,email,Audit trail gaps on weekends,"weekend logs missing, risk for EU regi (running v4.1.2)on, mostly on macOS13",2025-04-26 16:06:43.600686020,4.6
TK300128,T1002,UQ9WFB76AV,2025-09-16 09:22:19,medium,phone,Mobile app crashes offline,"offline sync triggers crash, started after v4 rollout, region LATAM, mostly on macOS14",2025-09-18 21:30:54.996606653,3.5
TK300129,T1013,UBPGYVYV2G,2025-09-20 12:47:04,urgent,email,QnA responses irrelevant,"bot answers outdated stuff, pricing info w (running v3.9.5)rong, region APAC",2025-09-21 05:02:01.887096359,4.1
TK300130,T1013,UXVI673KLL,2025-02-23 11:48:20,low,teams,Export to CSV missing columns,"exports incomplete since last push, need cost_cente (running v4.0.0)r back, region APAC pls advise quick",2025-02-24 04:54:29.530583534,3.1
TK300131,T1029,UGPNNHN6OF,2024-11-13 17:24:21,medium,slack,Audit trail gaps on weekends,"audit blank for saturday edits, compliance breathing down, mostly on Win10",2024-11-15 10:41:52.186494805,4.4
